Country name,Year,Life Ladder,Log GDP per capita,Social support,Healthy life expectancy at birth,Freedom to make life choices,Generosity,Perceptions of corruption,Positive affect,Negative affect,Confidence in national government,Democratic Quality,Delivery Quality,Standard deviation of ladder by country-year,Standard deviation/Mean of ladder by country-year,GINI index (World Bank estimate),"GINI index (World Bank estimate), average 2000-16","gini of household income reported in Gallup, by wp5-year","Most people can be trusted, Gallup","Most people can be trusted, WVS round 1981-1984","Most people can be trusted, WVS round 1989-1993","Most people can be trusted, WVS round 1994-1998","Most people can be trusted, WVS round 1999-2004","Most people can be trusted, WVS round 2005-2009","Most people can be trusted, WVS round 2010-2014"
Chad,2018,4.486325263977051,7.472574710845947,0.5772535800933838,48.20000076293945,0.6503545641899109,0.011340086348354816,0.7628793120384216,0.552737295627594,0.543836236000061,0.5774360299110413,-0.06030062635960176,-0.9521432583657541,3.107621431350708,0.6926875114440918,0.3737979789250913,0.4155,0.6076547503471375,0.1911082978153389,0.3904802825450897,0.28392481539737097,0.24957434069304985,0.26807041443474666,0.2643360556709388,0.23749304511730077
Chile,2018,6.436220645904541,10.065919876098633,0.8900849223136902,69.9000015258789,0.7885303497314453,-0.07061584293842316,0.8162974119186401,0.8325622081756592,0.27582022547721863,0.3347441554069519,0.6238878399247614,0.8391560438279381,2.152998447418213,0.3345128297805786,0.47328448275862206,0.49157142857142855,0.43431270122528076,0.05690455436706648,0.3904802825450897,0.22066666185855865,0.21377000212669373,0.2217666655778885,0.12470907717943192,0.1264016330242157
China,2018,5.131433963775635,9.694375991821289,0.787605345249176,69.30000305175781,0.8953776955604553,-0.174899160861969,0.7689081185714903,0.8557838797569275,0.18963979184627533,0.3694930466603813,-0.7540998079433059,0.06779774082513344,2.2628591060638428,0.44097986817359924,0.41300000000000775,0.42500000000000004,0.5382056832313538,0.7722194194793662,0.3904802825450897,0.5945945978164673,0.5040000081062317,0.5446057915687561,0.49678003787994385,0.6145190000534058
Colombia,2018,5.9835124015808105,9.511734008789062,0.8709704279899597,67.69999694824219,0.8507657647132874,-0.15504799783229828,0.8548209071159363,0.8254551887512207,0.3006241023540497,0.27486950159072876,-0.7377083698188143,-0.24216717211080563,2.6826722621917725,0.44834405183792114,0.7140820512820514,0.5416000000000001,0.5068538188934326,0.28701363503933064,0.3904802825450897,0.28392481539737097,0.10721991956233978,0.26807041443474666,0.1431404948234558,0.04127829521894455
Comoros,2018,3.9728195667266846,7.2601423263549805,0.6213029623031616,57.20000076293945,0.5601823329925537,0.13624751567840576,0.7937583327293396,0.7477415800094604,0.3374936580657959,0.31727370619773865,-0.5523393154144269,2.5563652515411377,2.8827123641967773,0.7256087064743042,0.3737979789250913,0.506,0.5982176661491394,0.1911082978153389,0.3904802825450897,0.28392481539737097,0.24957434069304985,0.26807041443474666,0.2643360556709388,0.23749304511730077
Congo,2018,5.4902143478393555,8.473278999328613,0.6206229329109192,57.900001525878906,0.6987000703811646,-0.12450098246335983,0.7380201816558838,0.5875065922737122,0.4476461708545685,0.47367361187934875,-0.6246386623217715,-1.4848289010127043,3.346595287322998,0.6095563769340515,0.3737979789250913,0.481,0.5971265435218811,0.1911082978153389,0.3904802825450897,0.28392481539737097,0.24957434069304985,0.26807041443474666,0.2643360556709388,0.23749304511730077
Costa Rica,2018,7.1410746574401855,9.669425964355469,0.8758724331855774,71.30000305175781,0.9418883323669434,-0.10419601202011108,0.7813017964363098,0.870097815990448,0.3258666396141052,0.4799777865409851,0.8074457528853125,0.2547091388587725,2.1459696292877197,0.3005107343196869,0.471247422680413,0.4908823529411764,0.7865166068077087,0.25707148015498615,0.3904802825450897,0.28392481539737097,0.24957434069304985,0.26807041443474666,0.2643360556709388,0.23749304511730077
Croatia,2018,5.536271095275879,10.065751075744629,0.9098068475723267,70.19999694824219,0.6908556222915649,-0.15252923965454102,0.9254083037376404,0.5820441246032715,0.2903759777545929,0.24818091094493866,0.6777944291071667,0.12770275976233003,1.7036806344985962,0.30773070454597473,-0.05392857142857119,0.32142857142857145,0.3224901556968689,-1.5419063866138134,0.3904802825450897,0.28392481539737097,0.22826087474822998,0.26807041443474666,0.2643360556709388,0.23749304511730077
Cyprus,2018,6.276443004608154,10.420384407043457,0.825573205947876,73.69999694824219,0.7942150235176086,0.9681739039073852,0.8483372330665588,0.7501224875450134,0.298021137714386,0.3524404466152191,0.6990881847643609,1.4196221123672292,2.12888503074646,0.33918654918670654,0.9544857389801199,0.32616666666666666,0.44866105914115906,0.1911082978153389,0.3904802825450897,0.28392481539737097,0.24957434069304985,0.26807041443474666,0.09887506067752838,0.0751437246799469
Czech Republic,2018,7.034165382385254,10.419473648071289,0.929163932800293,70.30000305175781,0.7901324033737183,-0.29435962438583374,0.8513822555541992,0.7137001156806946,0.1780681014060974,0.42078331112861633,1.0368732545982828,1.4163515063136924,1.674933671951294,0.23811405897140503,0.5622020631067963,0.2641666666666667,0.2542857229709625,0.1911082978153389,0.3904802825450897,0.3022751808166504,0.28519195318222046,0.26807041443474666,0.2643360556709388,0.23749304511730077
